date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:55:31	65901/65901	---M-Z	200	added ('OK')	text/html	etag:%221016d-65fc921e-ab7a6629dd235973;gz%22	https://validthemes.net/site-template/cleanu/index.html	C:/Meus%20Sites/Limpt/validthemes.net/site-template/cleanu/index.html	(from )
12:55:31	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-64b94017-82f3b5dc6195bc8a;gz%22	https://validthemes.net/robots.txt		(from )
12:55:32	1881/1881	---M--	200	added ('OK')	image/png	etag:%22759-65fc921e-c2b1b4a45b4ee6f6;;;%22	https://validthemes.net/site-template/cleanu/assets/img/favicon.png	C:/Meus%20Sites/Limpt/validthemes.net/site-template/cleanu/assets/img/favicon.png	(from https://validthemes.net/site-template/cleanu/index.html)
12:55:33	159515/159515	---M-Z	200	added ('OK')	text/css	etag:%2226f1b-65fc921e-930fa5460360a8f6;gz%22	https://validthemes.net/site-template/cleanu/assets/css/bootstrap.min.css	C:/Meus%20Sites/Limpt/validthemes.net/site-template/cleanu/assets/css/bootstrap.min.css	(from https://validthemes.net/site-template/cleanu/index.html)
12:55:33	174244/174244	---M-Z	200	added ('OK')	text/css	etag:%222a8a4-65fc921e-87dca908afa63c37;gz%22	https://validthemes.net/site-template/cleanu/assets/css/font-awesome.min.css	C:/Meus%20Sites/Limpt/validthemes.net/site-template/cleanu/assets/css/font-awesome.min.css	(from https://validthemes.net/site-template/cleanu/index.html)
12:55:33	16450/16450	---M-Z	200	added ('OK')	text/css	etag:%224042-65fc921e-e7b36f7a1419bbb6;gz%22	https://validthemes.net/site-template/cleanu/assets/css/themify-icons.css	C:/Meus%20Sites/Limpt/validthemes.net/site-template/cleanu/assets/css/themify-icons.css	(from https://validthemes.net/site-template/cleanu/index.html)
12:55:33	26593/26593	---M-Z	200	added ('OK')	text/css	etag:%2267e1-65fc921e-b410924cb883c44c;gz%22	https://validthemes.net/site-template/cleanu/assets/css/elegant-icons.css	C:/Meus%20Sites/Limpt/validthemes.net/site-template/cleanu/assets/css/elegant-icons.css	(from https://validthemes.net/site-template/cleanu/index.html)
12:55:34	11594/11594	---M-Z	200	added ('OK')	text/css	etag:%222d4a-65fc921e-fd749f40ed38d102;gz%22	https://validthemes.net/site-template/cleanu/assets/css/flaticon-set.css	C:/Meus%20Sites/Limpt/validthemes.net/site-template/cleanu/assets/css/flaticon-set.css	(from https://validthemes.net/site-template/cleanu/index.html)
12:55:34	6951/6951	---M-Z	200	added ('OK')	text/css	etag:%221b27-65fc921e-a644f1a59a4e34dd;gz%22	https://validthemes.net/site-template/cleanu/assets/css/magnific-popup.css	C:/Meus%20Sites/Limpt/validthemes.net/site-template/cleanu/assets/css/magnific-popup.css	(from https://validthemes.net/site-template/cleanu/index.html)
12:55:34	2936/2936	---M-Z	200	added ('OK')	text/css	etag:%22b78-65fc921e-376a4ccc4770976c;gz%22	https://validthemes.net/site-template/cleanu/assets/css/owl.carousel.min.css	C:/Meus%20Sites/Limpt/validthemes.net/site-template/cleanu/assets/css/owl.carousel.min.css	(from https://validthemes.net/site-template/cleanu/index.html)
12:55:34	936/936	---M-Z	200	added ('OK')	text/css	etag:%223a8-65fc921e-6f84dcf781c98288;gz%22	https://validthemes.net/site-template/cleanu/assets/css/owl.theme.default.min.css	C:/Meus%20Sites/Limpt/validthemes.net/site-template/cleanu/assets/css/owl.theme.default.min.css	(from https://validthemes.net/site-template/cleanu/index.html)
12:55:35	69727/69727	---M-Z	200	added ('OK')	text/css	etag:%221105f-65fc921e-d7ff0d3a66037dae;gz%22	https://validthemes.net/site-template/cleanu/assets/css/animate.css	C:/Meus%20Sites/Limpt/validthemes.net/site-template/cleanu/assets/css/animate.css	(from https://validthemes.net/site-template/cleanu/index.html)
12:55:35	72317/72317	---M-Z	200	added ('OK')	text/css	etag:%2211a7d-65fc921e-825ca8c4d0224f3c;gz%22	https://validthemes.net/site-template/cleanu/assets/css/bootsnav.css	C:/Meus%20Sites/Limpt/validthemes.net/site-template/cleanu/assets/css/bootsnav.css	(from https://validthemes.net/site-template/cleanu/index.html)
12:55:35	171127/171127	---M-Z	200	added ('OK')	text/css	etag:%2229c77-65fc921e-cff0bcd983bbab2b;gz%22	https://validthemes.net/site-template/cleanu/style.css	C:/Meus%20Sites/Limpt/validthemes.net/site-template/cleanu/style.css	(from https://validthemes.net/site-template/cleanu/index.html)
12:55:35	32347/32347	---M-Z	200	added ('OK')	text/css	etag:%227e5b-65fc921e-4b1c228388b3a66f;gz%22	https://validthemes.net/site-template/cleanu/assets/css/responsive.css	C:/Meus%20Sites/Limpt/validthemes.net/site-template/cleanu/assets/css/responsive.css	(from https://validthemes.net/site-template/cleanu/index.html)
12:55:36	69623/69623	---M-Z	200	added ('OK')	text/html	etag:%2210ff7-65fc921e-a40405b02a4935d2;gz%22	https://validthemes.net/site-template/cleanu/index.html	C:/Meus%20Sites/Limpt/validthemes.net/site-template/cleanu/index.html	(from https://validthemes.net/site-template/cleanu/index.html)
12:55:36	19279/19279	---M--	200	added ('OK')	image/png	etag:%224b4f-65fc921e-b4e87b2018c175f4;;;%22	https://validthemes.net/site-template/cleanu/assets/img/logo.png	C:/Meus%20Sites/Limpt/validthemes.net/site-template/cleanu/assets/img/logo.png	(from https://validthemes.net/site-template/cleanu/index.html)
12:55:37	51028/51028	---M-Z	200	added ('OK')	text/html	etag:%22c754-65fc921e-4d2d25ab6fab9b1;gz%22	https://validthemes.net/site-template/cleanu/index-2.html	C:/Meus%20Sites/Limpt/validthemes.net/site-template/cleanu/index-2.html	(from https://validthemes.net/site-template/cleanu/index.html)
12:55:37	65510/65510	---M-Z	200	added ('OK')	text/html	etag:%22ffe6-65fc921e-90195cd8b2e291cd;gz%22	https://validthemes.net/site-template/cleanu/index-3.html	C:/Meus%20Sites/Limpt/validthemes.net/site-template/cleanu/index-3.html	(from https://validthemes.net/site-template/cleanu/index.html)
12:55:37	60010/60010	---M-Z	200	added ('OK')	text/html	etag:%22ea6a-65fc921e-7baad2cf932261b2;gz%22	https://validthemes.net/site-template/cleanu/index-4.html	C:/Meus%20Sites/Limpt/validthemes.net/site-template/cleanu/index-4.html	(from https://validthemes.net/site-template/cleanu/index.html)
12:55:38	67561/67561	---M-Z	200	added ('OK')	text/html	etag:%22107e9-65fc921e-6a6c7a088f7e3027;gz%22	https://validthemes.net/site-template/cleanu/index-5.html	C:/Meus%20Sites/Limpt/validthemes.net/site-template/cleanu/index-5.html	(from https://validthemes.net/site-template/cleanu/index.html)
12:55:38	47624/47624	---M-Z	200	added ('OK')	text/html	etag:%22ba08-65fc921e-a0f5eea3f6561243;gz%22	https://validthemes.net/site-template/cleanu/index-op-2.html	C:/Meus%20Sites/Limpt/validthemes.net/site-template/cleanu/index-op-2.html	(from https://validthemes.net/site-template/cleanu/index.html)
